País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Paraguai,486927.0,510989.0,240168.0,354824.0,481564.0,521847.0,495428.0,985739.0,2393468.0,3234168.0,2419537.0,3299013.0,6522527.0,5076670.0,3780378.0,30803247.0
Estados Unidos,372319.0,228968.0,306787.0,146585.0,245368.0,222267.0,195896.0,258072.0,132688.0,169109.0,209765.0,300178.0,111085.0,220373.0,229839.0,3349299.0
China,1553416.0,795.0,54156.0,87905.0,40929.0,64040.0,47609.0,134106.0,67594.0,30835.0,129852.0,122253.0,61884.0,105395.0,73917.0,2574686.0
Haiti,4500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79500.0,81873.0,399128.0,670379.0,553503.0,559645.0,2351228.0
Espanha,2181.0,0.0,5206.0,0.0,1972980.0,0.0,0.0,0.0,0.0,6123.0,3540.0,28.0,0.0,0.0,180.0,1990238.0
Reino Unido,30092.0,123624.0,122629.0,82937.0,59161.0,305807.0,68382.0,117044.0,60711.0,67708.0,34295.0,22913.0,25316.0,18835.0,11326.0,1150780.0
Uruguai,0.0,914.0,1238.0,1135.0,1526.0,0.0,0.0,0.0,0.0,7711.0,6180.0,0.0,136774.0,637117.0,326093.0,1118688.0
Japão,217974.0,112178.0,100835.0,29281.0,91988.0,106426.0,31597.0,34341.0,33909.0,36992.0,40621.0,36442.0,39491.0,37324.0,22942.0,972341.0
Países Baixos,171654.0,87368.0,125414.0,134879.0,57792.0,165289.0,44987.0,42953.0,0.0,9451.0,44882.0,248.0,3791.0,7034.0,2244.0,897986.0
Alemanha,225086.0,27715.0,36070.0,8189.0,61699.0,213348.0,10680.0,14012.0,15467.0,10794.0,3660.0,6261.0,2698.0,7630.0,4806.0,648115.0
Bélgica,125962.0,42532.0,11802.0,16132.0,22461.0,151320.0,4473.0,7200.0,2790.0,7497.0,2498.0,3166.0,483.0,828.0,95.0,399239.0
Portugal,141000.0,4577.0,95.0,47172.0,23810.0,71544.0,47736.0,0.0,0.0,0.0,18328.0,7958.0,6358.0,1918.0,13742.0,384238.0
França,0.0,3614.0,0.0,195604.0,6885.0,33755.0,1596.0,6037.0,4253.0,11077.0,18286.0,12622.0,7052.0,5694.0,2265.0,308740.0
Cuba,0.0,0.0,2880.0,0.0,0.0,38875.0,97965.0,63741.0,62791.0,4776.0,0.0,0.0,0.0,16.0,0.0,271044.0
Bolívia,40463.0,54.0,12775.0,11868.0,19147.0,12534.0,10674.0,13586.0,9495.0,21566.0,0.0,9900.0,5850.0,32530.0,21926.0,222368.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12340.0,23930.0,33951.0,47962.0,32263.0,40673.0,25135.0,216254.0
Venezuela,0.0,0.0,0.0,1029.0,0.0,14.0,0.0,0.0,680.0,71.0,0.0,4086.0,26415.0,23220.0,141030.0,196545.0
Canadá,15664.0,0.0,28906.0,14304.0,25329.0,35082.0,24547.0,13711.0,6075.0,5308.0,1589.0,1672.0,1172.0,1183.0,11539.0,186081.0
Nigéria,41.0,0.0,54.0,6449.0,1350.0,0.0,0.0,0.0,0.0,5175.0,28437.0,12094.0,68247.0,32234.0,10800.0,164881.0
Hong Kong,50319.0,0.0,2063.0,1609.0,16013.0,18130.0,1229.0,6975.0,1934.0,1742.0,9651.0,15159.0,12507.0,9371.0,16255.0,162957.0
Angola,54786.0,33557.0,13889.0,2833.0,1573.0,12182.0,1908.0,7359.0,10170.0,477.0,345.0,0.0,0.0,4068.0,0.0,143147.0
Polônia,6982.0,20464.0,11732.0,21663.0,19249.0,30181.0,11654.0,11457.0,0.0,720.0,5.0,74.0,4.0,0.0,298.0,134483.0
Suíça,27653.0,2025.0,0.0,4014.0,2997.0,27933.0,15872.0,4230.0,6525.0,0.0,2223.0,2827.0,627.0,1584.0,2500.0,101010.0
Gana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,7673.0,18810.0,12578.0,35949.0,7237.0,91247.0
Finlândia,0.0,0.0,12404.0,17100.0,36682.0,12960.0,0.0,7617.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,86768.0
Dinamarca,1980.0,7034.0,32797.0,4716.0,17892.0,3240.0,7080.0,1278.0,581.0,0.0,240.0,659.0,87.0,2.0,1734.0,79320.0
Antilhas Holandesas,8235.0,9810.0,7335.0,9247.0,11281.0,4455.0,6660.0,16641.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,79064.0
Panamá,24.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1183.0,7918.0,10821.0,29520.0,11490.0,14785.0,75780.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5193.0,9755.0,0.0,9720.0,0.0,47277.0,71945.0
Suécia,28334.0,0.0,1641.0,2705.0,3195.0,10404.0,1412.0,291.0,15445.0,8062.0,28.0,6.0,23.0,5.0,0.0,71551.0
Taiwan (Formosa),0.0,0.0,4500.0,0.0,0.0,12519.0,7200.0,16967.0,14988.0,7589.0,12.0,963.0,1313.0,25.0,4208.0,70284.0
Libéria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.0,4441.0,5155.0,7554.0,9145.0,39784.0,66737.0
Austrália,1014.0,1823.0,3632.0,9345.0,16707.0,6308.0,7437.0,1954.0,1350.0,2055.0,1161.0,1013.0,705.0,1424.0,2485.0,58413.0
Argentina,162.0,0.0,13253.0,0.0,0.0,20385.0,0.0,0.0,0.0,15711.0,0.0,1015.0,6.0,480.0,4545.0,55557.0
Luxemburgo,7845.0,7344.0,9547.0,2444.0,5135.0,8281.0,2295.0,2759.0,2719.0,1778.0,1666.0,1086.0,0.0,36.0,581.0,53516.0
Republica Tcheca,9269.0,1091.0,6846.0,7960.0,3697.0,4500.0,2297.0,3837.0,2746.0,2712.0,2115.0,563.0,456.0,1305.0,405.0,49799.0
Serra Leoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9240.0,6525.0,8101.0,23200.0,47084.0
Colômbia,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6944.0,897.0,15660.0,12160.0,8217.0,450.0,44336.0
Guiana,0.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,990.0,2372.0,2064.0,33651.0,40284.0
Ilhas Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,7276.0,6270.0,8644.0,7240.0,7417.0,37770.0
Noruega,0.0,0.0,10268.0,5104.0,2375.0,7179.0,1058.0,0.0,0.0,1295.0,628.0,1859.0,1878.0,2711.0,861.0,35216.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.0,17317.0,14550.0,33757.0
Turquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,115.0,0.0,343.0,418.0,28104.0,29340.0
Suriname,3830.0,1836.0,3774.0,396.0,1800.0,6.0,453.0,900.0,3690.0,0.0,3206.0,4185.0,900.0,1225.0,3105.0,29306.0
Itália,1817.0,1458.0,11999.0,792.0,1710.0,604.0,0.0,585.0,468.0,3661.0,587.0,91.0,696.0,1129.0,2922.0,28519.0
Cingapura,2419.0,1533.0,911.0,1212.0,766.0,541.0,1116.0,5445.0,0.0,3298.0,5044.0,4049.0,0.0,0.0,0.0,26334.0
Estônia,5438.0,15848.0,450.0,3321.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25957.0
Chile,1475.0,0.0,0.0,8550.0,0.0,0.0,0.0,0.0,0.0,11049.0,0.0,11.0,26.0,2094.0,9.0,23214.0
Guatemala,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,0.0,17347.0,1283.0,2053.0,22300.0
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,3661.0,3490.0,3441.0,3127.0,6561.0,20783.0
Guine Equatorial,169.0,410.0,956.0,819.0,1108.0,5646.0,0.0,0.0,2639.0,8389.0,0.0,0.0,0.0,0.0,0.0,20136.0
Congo,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17100.0,17460.0
Irlanda,0.0,3969.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,7560.0,0.0,29.0,36.0,0.0,150.0,17120.0
Emirados Arabes Unidos,1398.0,1035.0,2120.0,675.0,0.0,640.0,765.0,585.0,675.0,360.0,450.0,581.0,810.0,4781.0,1417.0,16292.0
Bahamas,0.0,3175.0,4529.0,1374.0,581.0,0.0,0.0,0.0,0.0,141.0,791.0,1212.0,1083.0,1215.0,1348.0,15449.0
Nova Zelândia,0.0,0.0,2587.0,2364.0,1004.0,2800.0,809.0,504.0,1678.0,969.0,500.0,95.0,657.0,63.0,338.0,14368.0
Filipinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9608.0,736.0,719.0,2784.0,375.0,94.0,14316.0
Catar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13338.0,0.0,0.0,0.0,1.0,0.0,5.0,13344.0
Singapura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4504.0,4322.0,3941.0,12767.0
Cabo Verde,0.0,11991.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,16.0,0.0,0.0,12625.0
Grécia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,561.0,6859.0,908.0,920.0,1294.0,10774.0
Vietnã,743.0,8820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,86.0,0.0,130.0,72.0,9871.0
Quênia,0.0,0.0,0.0,94.0,6.0,0.0,0.0,0.0,0.0,6771.0,0.0,0.0,0.0,1440.0,0.0,8311.0
Chipre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,672.0,2478.0,1855.0,1521.0,524.0,7329.0
Nova Caledônia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7227.0,0.0,0.0,7227.0
Equador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3780.0,0.0,135.0,2790.0,6707.0
México,0.0,0.0,1350.0,0.0,0.0,1521.0,0.0,0.0,664.0,2748.0,4.0,24.0,9.0,6.0,3.0,6329.0
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5610.0,0.0,5610.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5040.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5049.0
Malavi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3660.0,3660.0
Tailândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,128.0,534.0,1334.0,432.0,189.0,2625.0
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,219.0,624.0,805.0,419.0,383.0,2487.0
São Tomé e Príncipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184.0,0.0,0.0,0.0,0.0,0.0,2184.0
Barein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,8.0,302.0,979.0,283.0,2054.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,1485.0,0.0,1945.0
Camarões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.0
Ilha de Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,97.0,165.0,1428.0,1729.0
Aruba,0.0,0.0,900.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0
Trinidade Tobago,0.0,0.0,0.0,531.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0
Ilhas Cayman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,123.0,104.0,160.0,438.0,863.0
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,769.0,0.0,0.0,0.0,792.0
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,681.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,143.0,216.0,220.0,58.0,673.0
Hungria,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,627.0
Coreia do sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,120.0,70.0,103.0,67.0,77.0,25.0,470.0
Letônia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,8.0,395.0
Moçambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,383.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,13.0,247.0,60.0,378.0
Omã,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,194.0
Irã,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,116.0,47.0,0.0,184.0
África do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,117.0,147.0
Arábia Saudita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0
Bulgária,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,5.0,0.0,122.0
Guiana Francesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,22.0,0.0,112.0
São Vicente e Granadinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,39.0,67.0
Malásia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,48.0,0.0,0.0,0.0,0.0,63.0
El Salvador,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
Croácia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,0.0,55.0
Guine Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Bósnia-Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,14.0,0.0,0.0,32.0
Ilhas Cocos (Keeling),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0
Nicarágua,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0
Bermudas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
São Cristóvão e Névis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
Indonésia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,14.0
Honduras,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Jordânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,12.0
Pitcairn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0
Suazilândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
Comores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0
Belice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
Martinica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Mauritânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
Macau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Toquelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Total,3601284.0,1280574.0,1214834.0,1247200.0,3255768.0,2133373.0,1150815.0,1786549.0,2889572.0,3856162.0,3152873.0,4408254.0,7876742.0,6957433.0,5538888.0,50350321.0
